Paired evolution matrix comparison
Baseline: baseline-civ61-breaks-20260822 (6 runs)
Candidate: candidate-civ61-breaks-v1-20260822 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  interruptLifeReviewChildren: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 16/29.67; C 70/83.67; paired Δ med/mean +54/+54 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 50/133.33; C 578/578.67; paired Δ med/mean +470/+445.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 9/23; C 60/71; paired Δ med/mean +51/+48 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 59/156.33; C 602/649.67; paired Δ med/mean +547/+493.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 33/46; C 192/302.33; paired Δ med/mean +159/+256.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 26/110.33; C 291/347.33; paired Δ med/mean +185/+237 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 971/1196; C 890/875.33; paired Δ med/mean -60/-320.67 (3 pairs)
  actionPersonMonths: B med/mean 433/398.67; C 406/387; paired Δ med/mean -52/-11.67 (3 pairs)
  projectActionPersonMonths: B med/mean 106/86; C 100/120; paired Δ med/mean +4/+34 (3 pairs)
  projectActionMonthShare: B med/mean 24.48/20.65; C 24.63/28.23; paired Δ med/mean +6.32/+7.58 (3 pairs)
  ruleDecisions: B med/mean 818/702.67; C 1124/1328; paired Δ med/mean +778/+625.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 46.15/45.29; C 57.34/56.28; paired Δ med/mean +11.66/+10.99 (3 pairs)
  strategicIntents: B med/mean 286/323.67; C 665/737.33; paired Δ med/mean +472/+413.67 (3 pairs)
  socialIntents: B med/mean 472/379; C 577/571; paired Δ med/mean +227/+192 (3 pairs)
  communications: B med/mean 183/142.33; C 193/194; paired Δ med/mean +60/+51.67 (3 pairs)
  survivalReflexActions: B med/mean 414/724.33; C 714/784; paired Δ med/mean +160/+59.67 (3 pairs)
  projectsStarted: B med/mean 30/28; C 43/51.33; paired Δ med/mean +13/+23.33 (3 pairs)
  projectsCompleted: B med/mean 17/17.67; C 19/23.67; paired Δ med/mean +2/+6 (3 pairs)
  projectsBlocked: B med/mean 10/8.67; C 23/26; paired Δ med/mean +11/+17.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 30/28; C 43/51.33; paired Δ med/mean +13/+23.33 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 411/360.67; C 327/471.67; paired Δ med/mean -46/+111 (3 pairs)
  projectsWithPressureUpdates: B med/mean 27/24.33; C 39/45.67; paired Δ med/mean +12/+21.33 (3 pairs)
  projectPressureUpdates: B med/mean 381/332.67; C 284/420.33; paired Δ med/mean -58/+87.67 (3 pairs)
  projectPressureIncreases: B med/mean 31/35.33; C 58/50.67; paired Δ med/mean -2/+15.33 (3 pairs)
  projectPressureDecreases: B med/mean 77/58.67; C 82/81.33; paired Δ med/mean +4/+22.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 235/238.67; C 144/288.33; paired Δ med/mean -60/+49.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 0/4; C 10/15.67; paired Δ med/mean 0/+11.67 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/1.33; paired Δ med/mean 0/+1.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 2/2.33; C 3/3.67; paired Δ med/mean 0/+1.33 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 1/6.33; C 1/1.33; paired Δ med/mean 0/-5 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 599/561; C 678/781.67; paired Δ med/mean +79/+220.67 (3 pairs)
