Paired evolution matrix comparison
Baseline: candidate-causal-cultivation-v4 (6 runs)
Candidate: candidate-local-capability-v5 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 1/1; C 0/0; paired Δ med/mean -1/-1 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0.13; C 0/0; paired Δ med/mean 0/-0.13 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 1/3.67; C 0/0.33; paired Δ med/mean 0/-3.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 86/131.33; C 186/185; paired Δ med/mean +47/+53.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 78/91.67; C 109/130.33; paired Δ med/mean +67/+38.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/2.67; C 0/0; paired Δ med/mean 0/-2.67 (3 pairs)
  completedActions: B med/mean 1249/1146.33; C 1072/1087.33; paired Δ med/mean -62/-59 (3 pairs)
  actionPersonMonths: B med/mean 645/608.67; C 561/562.33; paired Δ med/mean -84/-46.33 (3 pairs)
  projectActionPersonMonths: B med/mean 99/89.33; C 118/111.33; paired Δ med/mean +33/+22 (3 pairs)
  projectActionMonthShare: B med/mean 14.47/14.33; C 21.03/19.66; paired Δ med/mean +5.72/+5.33 (3 pairs)
  ruleDecisions: B med/mean 1437/1485; C 1297/1302.33; paired Δ med/mean -25/-182.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
