Paired evolution matrix comparison
Baseline: candidate-project-reopen-memory-v2-20260822 (6 runs)
Candidate: candidate-project-reopen-memory-v3-20260822 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  projectsBlocked: B med/mean 17/18.67; C 14/16; paired Δ med/mean -3/-2.67 (3 pairs)
  projectPressureBasisProjects: B med/mean 35/50.67; C 34/47; paired Δ med/mean -5/-3.67 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 572/690; C 457/637; paired Δ med/mean -44/-53 (3 pairs)
  projectsWithPressureUpdates: B med/mean 31/45.67; C 30/42.33; paired Δ med/mean -5/-3.33 (3 pairs)
  projectPressureUpdates: B med/mean 537/639.33; C 427/590; paired Δ med/mean -38/-49.33 (3 pairs)
  projectPressureIncreases: B med/mean 109/122.33; C 89/118; paired Δ med/mean 0/-4.33 (3 pairs)
  projectPressureDecreases: B med/mean 150/169.33; C 129/161.67; paired Δ med/mean -2/-7.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 278/347.67; C 209/310.33; paired Δ med/mean -43/-37.33 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 0/0; C 0/5; paired Δ med/mean 0/+5 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 5/3.67; C 5/3.67; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 19/25.33; C 19/26.67; paired Δ med/mean 0/+1.33 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 683/860.33; C 633/832; paired Δ med/mean 0/-28.33 (3 pairs)
  projectProgressProjects: B med/mean 34/48; C 32/45.33; paired Δ med/mean -2/-2.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 439/553.67; C 439/524.33; paired Δ med/mean 0/-29.33 (3 pairs)
  projectMaterialContributionProgress: B med/mean 281/306.67; C 265/307.67; paired Δ med/mean 0/+1 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 16/15.67; C 11/13.67; paired Δ med/mean -1/-2 (3 pairs)
  projectSearchCampaigns: B med/mean 14/21.33; C 14/20.33; paired Δ med/mean 0/-1 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 12/17.67; C 12/16.67; paired Δ med/mean 0/-1 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignExhausted: B med/mean 7/8.67; C 5/8; paired Δ med/mean 0/-0.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 2/2.67; C 2/2.67; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignClosed: B med/mean 6/9.67; C 6/9.33; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 23/35.33; C 23/33.67; paired Δ med/mean 0/-1.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 3/3; C 3/3.33; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 170/188.33; C 147/184.67; paired Δ med/mean 0/-3.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 157/173; C 137/170.67; paired Δ med/mean 0/-2.33 (3 pairs)
  projectLogisticsExhausted: B med/mean 6/8.67; C 5/7.33; paired Δ med/mean -1/-1.33 (3 pairs)
  projectSearchEpisodes: B med/mean 23/35.33; C 23/33.67; paired Δ med/mean 0/-1.67 (3 pairs)
  projectDropEpisodes: B med/mean 115/123; C 106/121.33; paired Δ med/mean 0/-1.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 539/694; C 520/662; paired Δ med/mean 0/-32 (3 pairs)
  jointProjectsCompleted: B med/mean 3/5; C 3/5; paired Δ med/mean 0/0 (3 pairs)
  productionProjectsCompleted: B med/mean 14/14.67; C 14/15.33; paired Δ med/mean +1/+0.67 (3 pairs)
  constructionProjectsCompleted: B med/mean 11/14.33; C 11/13.67; paired Δ med/mean -1/-0.67 (3 pairs)
  totalStructures: B med/mean 11/10.67; C 9/9.33; paired Δ med/mean -2/-1.33 (3 pairs)
  completedStructures: B med/mean 3/3.33; C 3/3; paired Δ med/mean 0/-0.33 (3 pairs)
  constructionPlacements: B med/mean 21/23.33; C 19/22; paired Δ med/mean -2/-1.33 (3 pairs)
  containersBuilt: B med/mean 3/3; C 3/3; paired Δ med/mean 0/0 (3 pairs)
  standingContainers: B med/mean 3/3; C 3/3; paired Δ med/mean 0/0 (3 pairs)
  containerTransfers: B med/mean 10/11; C 13/14; paired Δ med/mean 0/+3 (3 pairs)
  storedUnits: B med/mean 13/13.33; C 15/21.33; paired Δ med/mean 0/+8 (3 pairs)
  movementActions: B med/mean 2333/2491.67; C 2074/2403.33; paired Δ med/mean -6/-88.33 (3 pairs)
  movementActionShare: B med/mean 63.12/64.93; C 63.82/65.28; paired Δ med/mean +0.34/+0.35 (3 pairs)
  spearsCrafted: B med/mean 0/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
