Paired evolution matrix comparison
Baseline: baseline-shared-living-v1-20260821 (3 runs)
Candidate: candidate-shared-living-v4-20260821 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  interruptChildrenCompleted: B med/mean 14/175; C 146/201.67; paired Δ med/mean +99/+26.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 1/0.67; C 70/72; paired Δ med/mean +70/+71.33 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 15/175.67; C 216/273.67; paired Δ med/mean +191/+98 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 13/134; C 136/123.33; paired Δ med/mean +88/-10.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 2/41.67; C 124/150.33; paired Δ med/mean +123/+108.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 935/987.67; C 1260/1203.67; paired Δ med/mean +141/+216 (3 pairs)
  actionPersonMonths: B med/mean 471/481; C 495/499; paired Δ med/mean +44/+18 (3 pairs)
  projectActionPersonMonths: B med/mean 38/45; C 93/98.33; paired Δ med/mean +54/+53.33 (3 pairs)
  projectActionMonthShare: B med/mean 7.12/9.64; C 19.29/19.79; paired Δ med/mean +9.95/+10.15 (3 pairs)
  ruleDecisions: B med/mean 802/868.33; C 1407/1408.67; paired Δ med/mean +635/+540.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 10.56/26.33; C 26.79/28.9; paired Δ med/mean +12.17/+2.58 (3 pairs)
  strategicIntents: B med/mean 83/267; C 352/392; paired Δ med/mean +223/+125 (3 pairs)
  socialIntents: B med/mean 593/590.33; C 962/959.33; paired Δ med/mean +369/+369 (3 pairs)
  communications: B med/mean 265/270.33; C 298/324.33; paired Δ med/mean +115/+54 (3 pairs)
