Paired evolution matrix comparison
Baseline: granary-dedup-baseline-v1-20260820 (3 runs)
Candidate: granary-dedup-candidate-v2-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  interruptFulfillmentChildren: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  interruptChildrenCompleted: B med/mean 136/208.33; C 13/138.33; paired Δ med/mean -51/-70 (3 pairs)
  interruptChildrenBlocked: B med/mean 51/37.33; C 7/15.67; paired Δ med/mean -11/-21.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 136/245.67; C 20/154; paired Δ med/mean -112/-91.67 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 84/147.67; C 20/93.33; paired Δ med/mean -46/-54.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 80/98; C 0/60.67; paired Δ med/mean -31/-37.33 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/1; C 0/0; paired Δ med/mean 0/-1 (3 pairs)
  completedActions: B med/mean 1189/1204.67; C 1065/1019; paired Δ med/mean -200/-185.67 (3 pairs)
  actionPersonMonths: B med/mean 604/579.67; C 585/576; paired Δ med/mean -6/-3.67 (3 pairs)
  projectActionPersonMonths: B med/mean 69/73; C 44/48.33; paired Δ med/mean -25/-24.67 (3 pairs)
  projectActionMonthShare: B med/mean 13.21/12.62; C 8.53/8.46; paired Δ med/mean -4.69/-4.16 (3 pairs)
  ruleDecisions: B med/mean 1744/1825.33; C 1505/1776; paired Δ med/mean -204/-49.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 16.87/18.31; C 12.14/14.33; paired Δ med/mean -4.73/-3.98 (3 pairs)
  strategicIntents: B med/mean 265/347.33; C 166/278; paired Δ med/mean -70/-69.33 (3 pairs)
  socialIntents: B med/mean 1548/1474; C 1368/1493; paired Δ med/mean -105/+19 (3 pairs)
  communications: B med/mean 393/391; C 439/419.33; paired Δ med/mean +42/+28.33 (3 pairs)
  survivalReflexActions: B med/mean 460/522; C 381/390.67; paired Δ med/mean -99/-131.33 (3 pairs)
  projectsStarted: B med/mean 22/22.67; C 19/18; paired Δ med/mean -7/-4.67 (3 pairs)
  projectsCompleted: B med/mean 12/12.33; C 9/9.67; paired Δ med/mean -3/-2.67 (3 pairs)
  projectsBlocked: B med/mean 7/7; C 7/6.67; paired Δ med/mean -1/-0.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 22/22.67; C 19/18; paired Δ med/mean -7/-4.67 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 349/327; C 215/225; paired Δ med/mean -75/-102 (3 pairs)
  projectsWithPressureUpdates: B med/mean 21/21.33; C 18/16.33; paired Δ med/mean -5/-5 (3 pairs)
  projectPressureUpdates: B med/mean 327/304.33; C 196/207; paired Δ med/mean -75/-97.33 (3 pairs)
  projectPressureIncreases: B med/mean 34/43.33; C 24/27; paired Δ med/mean -9/-16.33 (3 pairs)
  projectPressureDecreases: B med/mean 53/51; C 31/33.67; paired Δ med/mean -17/-17.33 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 235/210; C 148/146.33; paired Δ med/mean -67/-63.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 0/2.33; C 7/8.33; paired Δ med/mean 0/+6 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 29/21; C 1/7.67; paired Δ med/mean -11/-13.33 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 477/497.67; C 269/270.67; paired Δ med/mean -208/-227 (3 pairs)
  projectProgressProjects: B med/mean 20/21.67; C 15/16.33; paired Δ med/mean -7/-5.33 (3 pairs)
