Paired evolution matrix comparison
Baseline: review10-baseline-7a50b51-20260820 (9 runs)
Candidate: review10-v1-intent-recovery-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 6/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  interruptChildrenBlocked: B med/mean 6/8.67; C 6/8.67; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 163/168; C 156/157.67; paired Δ med/mean 0/-10.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 80/81; C 80/81; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 76/87; C 76/76.67; paired Δ med/mean 0/-10.33 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1111/1050; C 1111/1061.33; paired Δ med/mean 0/+11.33 (3 pairs)
  actionPersonMonths: B med/mean 557/558.67; C 557/561; paired Δ med/mean 0/+2.33 (3 pairs)
  projectActionPersonMonths: B med/mean 98/81.33; C 98/82; paired Δ med/mean 0/+0.67 (3 pairs)
  projectActionMonthShare: B med/mean 16.67/14.43; C 16.81/14.48; paired Δ med/mean 0/+0.05 (3 pairs)
  ruleDecisions: B med/mean 1091/1073; C 1091/1055; paired Δ med/mean 0/-18 (3 pairs)
